Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
48,43184,183014,708,77,4,3.17,60,0.54,0,0,0,1,1,0,0,1
66,56265,215724,826,61,1,8.79,24,0.84,3,2,0,1,1,4,0,0
69,59600,144630,805,43,3,11.5,36,0.43,0,3,1,1,1,2,0,0
39,80666,191843,428,100,3,3.04,60,0.83,1,1,2,0,0,2,0,0
60,35742,221071,524,87,4,2.75,36,0.63,1,1,0,0,0,0,1,0
47,82187,246420,384,67,4,9.61,36,0.61,3,3,2,0,0,3,1,0
29,50208,193938,480,25,4,10.2,48,0.29,3,0,2,0,1,4,1,1
29,29411,65359,619,102,1,21.0,48,0.66,0,3,2,0,0,1,1,0
57,71649,52278,364,6,1,2.52,60,0.14,1,1,2,0,0,1,1,0
62,126912,229813,770,77,2,17.92,36,0.85,3,1,1,0,1,2,0,0
20,97044,228409,465,76,1,5.6,48,0.73,0,1,2,1,1,1,0,0
22,141064,44898,823,18,4,17.48,12,0.74,2,3,1,1,1,1,0,0
19,45894,182075,513,23,2,24.57,60,0.81,0,1,0,0,1,0,1,1
48,58558,104103,302,27,4,20.67,12,0.84,1,3,1,1,1,1,0,0
34,31988,180420,751,10,1,16.93,48,0.76,2,0,0,1,1,2,0,0
45,30525,150421,681,57,3,21.5,48,0.33,3,3,0,0,1,4,0,1
30,128354,165393,569,35,3,24.95,60,0.11,1,0,0,1,0,0,1,0
56,52008,126944,811,12,4,14.03,12,0.46,0,3,1,1,1,1,1,0
27,148568,234759,381,43,3,21.32,36,0.44,0,1,0,0,0,2,0,0
51,85200,27557,461,15,3,2.79,60,0.11,1,3,2,0,0,2,1,0
41,24462,196050,672,86,1,3.99,24,0.67,2,1,1,0,0,1,0,0
61,21284,182645,329,85,2,4.26,48,0.24,0,3,2,0,0,0,0,0
30,141353,25679,378,89,1,10.45,36,0.64,0,0,2,1,0,3,0,0
61,50305,86109,759,110,3,8.49,12,0.21,2,1,0,1,1,1,1,0
60,98211,143865,484,16,4,6.28,24,0.38,2,3,1,1,1,3,1,0
32,107660,146562,334,67,2,9.62,60,0.51,2,2,0,0,0,3,1,0
49,78686,129123,731,100,3,22.27,60,0.72,3,3,0,0,0,4,0,0
44,32304,101601,557,63,1,2.25,36,0.8,0,1,0,0,0,3,0,0
25,125780,172682,410,19,2,8.76,36,0.18,0,0,1,0,1,4,1,0
61,75873,33452,746,74,3,22.21,12,0.87,3,0,2,0,1,2,1,0
52,145528,152163,476,64,2,19.11,36,0.1,1,1,0,1,0,3,0,0
22,96528,244136,812,118,2,23.71,12,0.61,1,3,0,0,0,0,1,1
20,58430,33309,760,16,4,16.33,48,0.84,1,1,1,0,1,2,1,0
68,39576,96906,776,4,4,22.4,36,0.4,2,3,2,0,1,2,1,0
63,17372,52418,598,74,2,18.94,60,0.11,0,3,2,0,1,2,1,0
33,95364,226244,773,107,4,15.92,12,0.38,0,0,2,1,1,4,1,0
54,145537,145992,661,48,2,22.76,60,0.67,1,3,1,0,0,0,1,0
24,141461,215545,495,75,2,21.68,24,0.28,3,2,2,0,0,2,1,0
60,46239,226544,736,105,2,21.94,24,0.17,1,2,0,1,1,3,0,0
66,24552,32889,418,28,2,22.12,60,0.3,2,3,0,0,1,1,1,0
53,108351,84237,329,90,4,21.46,48,0.75,2,0,1,1,1,0,1,0
63,46279,107652,517,9,3,22.09,48,0.14,2,2,0,1,0,2,0,0
22,117139,31195,832,66,1,18.44,12,0.19,1,2,2,0,0,2,1,0
33,136279,112952,384,116,2,7.23,12,0.65,1,3,0,0,1,4,0,0
46,62549,82406,559,101,1,18.78,24,0.63,0,1,0,0,1,0,1,0
52,127294,240428,817,107,3,21.21,36,0.13,3,1,2,1,1,0,0,0
20,112295,200420,575,106,3,9.68,24,0.34,2,0,0,0,1,2,1,0
59,61722,205405,504,70,3,3.5,24,0.33,2,2,0,0,0,4,0,0
30,115244,245133,798,99,1,9.46,36,0.78,1,1,0,0,1,3,0,0
54,61701,115256,473,53,2,21.93,48,0.41,0,2,0,1,1,3,0,0
35,29409,246225,612,38,4,8.8,12,0.44,1,0,1,1,1,0,0,1
63,140686,129087,734,23,1,5.6,48,0.52,0,2,0,1,1,0,1,0
36,78483,61263,671,112,4,2.73,12,0.55,0,0,0,1,0,4,0,0
57,105781,167752,468,29,1,3.08,12,0.41,0,2,2,1,0,1,0,1
35,29061,75469,520,118,4,6.5,60,0.61,2,1,1,0,1,4,1,0
59,106753,173250,367,31,1,4.25,48,0.64,0,1,2,1,1,3,0,0
28,116934,187269,321,74,2,12.3,60,0.26,2,1,2,0,1,1,0,0
49,94887,241407,800,78,4,12.73,60,0.13,3,1,1,1,0,1,1,0
49,81545,189481,554,70,1,15.96,12,0.48,3,0,0,1,1,1,0,0
49,19971,240714,747,1,1,13.38,36,0.27,2,2,2,0,0,0,0,0
56,139707,148831,473,36,2,10.27,36,0.5,0,0,1,1,1,2,1,0
26,80986,149392,733,109,4,10.49,24,0.57,1,0,2,1,1,1,0,0
42,142773,32267,790,22,3,11.23,24,0.7,1,3,2,1,0,0,0,1
43,32314,120305,845,119,4,4.18,12,0.85,0,1,0,1,0,2,0,0
41,85249,153722,594,87,2,10.56,60,0.22,1,1,0,1,0,3,0,0
51,60536,228347,316,58,3,13.3,12,0.82,3,2,2,0,0,4,1,0
40,67189,149081,302,119,4,10.02,12,0.66,1,3,1,1,0,4,0,0
20,149032,8546,415,20,3,13.99,24,0.61,0,1,1,1,0,0,1,0
24,74854,194398,646,86,1,6.13,12,0.24,3,0,2,1,0,0,0,1
22,91109,113115,797,99,3,16.42,12,0.59,2,3,2,1,0,4,0,0
57,76476,204417,622,0,2,24.18,60,0.53,3,3,2,1,0,3,1,0
46,136865,70040,604,78,1,23.87,48,0.29,3,3,0,0,1,2,1,0
41,61705,106847,528,57,4,2.23,36,0.75,2,1,2,1,0,0,0,0
38,141446,22437,374,32,3,15.9,36,0.28,2,1,1,1,0,4,0,1
68,127403,12185,680,5,4,24.8,24,0.23,1,0,2,1,1,3,0,0
24,36852,215105,735,23,2,19.26,60,0.46,1,0,1,1,0,1,0,0
28,58731,190963,580,34,3,22.93,12,0.58,3,3,0,1,0,4,1,0
57,149093,233737,519,84,4,7.92,60,0.79,3,3,1,1,0,1,0,0
19,88123,194120,501,47,1,11.42,12,0.44,2,2,0,1,1,2,0,0
52,81148,147285,773,36,3,6.59,24,0.27,2,3,1,0,0,1,0,0
55,95521,57590,439,93,1,4.39,48,0.7,2,1,0,1,0,2,0,0
64,124584,33027,540,45,4,24.82,24,0.81,0,0,2,1,1,1,0,0
43,56472,63767,528,73,1,11.75,36,0.14,2,0,1,1,1,2,1,0
62,109394,75696,671,88,1,18.16,24,0.28,0,1,0,0,1,2,0,0
51,123149,84721,362,4,3,17.66,36,0.49,1,0,0,0,1,0,1,0
30,106034,80509,479,21,1,12.24,48,0.88,3,3,0,1,0,4,1,0
39,77533,67964,575,98,1,23.44,48,0.22,2,0,0,1,0,3,1,0
37,90128,104568,472,83,2,18.96,48,0.59,2,0,2,0,0,2,0,0
43,67178,172121,361,71,3,15.94,24,0.3,3,3,0,1,0,1,0,0
21,119184,77488,315,95,2,22.54,36,0.75,2,2,1,1,1,1,1,0
20,48985,191464,632,92,1,16.59,60,0.75,0,1,1,0,0,1,0,1
53,87657,52589,553,102,1,23.08,60,0.67,3,1,0,0,0,2,0,0
31,135928,117353,816,22,2,4.78,60,0.8,1,3,1,1,0,1,1,0
28,91378,180909,334,101,3,13.1,12,0.88,2,2,0,1,0,1,0,0
58,102298,56846,369,79,1,16.44,60,0.77,1,2,2,1,1,2,1,0
65,135926,152132,319,99,2,9.46,60,0.39,1,2,2,0,1,1,1,0
36,149067,20614,564,105,3,20.57,48,0.27,3,2,1,0,0,1,1,0
42,60964,53851,390,41,1,7.73,24,0.43,2,2,0,1,0,3,1,0
18,138896,200667,442,107,1,21.89,48,0.64,2,2,2,1,1,2,1,0
51,31893,159928,469,7,4,5.22,48,0.47,3,1,2,0,1,0,0,0
36,132299,108452,804,75,4,17.29,48,0.77,3,2,2,1,0,2,1,1
68,147849,193484,304,81,1,11.31,24,0.14,3,3,0,1,1,0,1,0
63,26602,211459,342,100,1,9.16,24,0.54,0,0,1,0,0,4,0,0
48,55866,106754,692,94,2,12.5,36,0.55,2,2,1,0,0,2,0,0
61,89542,86401,633,52,2,21.14,12,0.25,3,3,1,1,0,4,0,0
41,61312,146797,386,58,3,10.76,60,0.48,1,2,2,1,0,2,0,0
30,71958,99646,633,48,2,21.09,60,0.52,1,0,2,0,0,4,1,0
45,96963,179316,366,113,3,14.08,60,0.31,2,3,0,0,1,0,0,0
65,149615,157277,828,69,4,12.66,48,0.6,0,0,1,0,0,0,0,0
49,110678,183070,727,18,1,7.63,12,0.64,0,2,1,1,1,1,1,0
40,58610,201847,791,111,4,16.51,36,0.21,2,2,1,0,1,3,1,0
48,51307,125852,578,91,3,23.92,24,0.36,2,1,0,0,1,1,1,0
53,132667,75344,616,101,3,17.65,36,0.49,2,3,0,0,1,0,0,0
56,79139,156635,820,108,4,16.71,36,0.51,2,0,2,1,1,2,0,0
67,98892,196644,600,39,4,17.35,60,0.79,2,3,1,1,1,1,1,0
21,110773,203147,786,35,1,23.98,60,0.73,3,1,0,1,1,4,1,0
57,25997,99785,318,78,2,6.47,12,0.73,0,1,2,0,0,1,0,0
45,108629,43766,553,100,2,7.61,24,0.59,2,2,1,1,0,1,0,0
18,76209,59277,786,40,4,18.34,24,0.52,3,1,1,0,1,4,1,0
47,50597,96246,519,48,3,23.68,24,0.73,3,3,2,1,1,2,0,0
62,53084,15451,740,44,1,5.02,48,0.59,2,2,1,0,0,1,0,0
54,43419,9951,367,85,3,14.97,60,0.53,0,3,1,0,1,2,1,0
19,17151,208373,594,67,4,9.99,12,0.86,3,3,0,0,1,3,0,1
42,140711,234122,817,60,1,6.55,60,0.27,2,3,0,1,1,0,1,0
24,71785,142034,835,55,2,24.15,36,0.82,2,2,1,0,1,0,1,0
59,142950,209680,376,117,3,17.57,36,0.29,3,3,1,1,1,1,1,0
46,120245,47847,640,102,2,3.01,24,0.41,1,3,1,1,1,2,0,0
56,32808,81743,492,37,4,15.3,12,0.36,2,3,2,0,0,0,1,0
39,55621,174609,752,85,1,9.69,60,0.56,2,0,2,0,0,4,0,0
45,131729,71218,517,64,2,19.2,12,0.36,3,2,0,0,0,1,1,0
35,88270,94645,630,82,4,2.21,48,0.52,1,2,1,0,1,0,1,0
20,44208,139365,569,6,1,9.67,48,0.79,0,2,2,1,0,2,1,0
67,15532,29389,823,67,4,4.87,48,0.6,2,1,2,1,0,4,0,0
49,125908,248810,335,78,4,10.37,24,0.81,1,2,0,0,1,0,1,0
38,61256,213224,763,112,3,11.14,48,0.18,0,0,0,1,0,0,0,0
36,108553,140280,321,84,4,21.57,60,0.67,0,0,0,1,0,2,1,0
50,119712,202346,345,97,2,5.73,12,0.85,1,1,2,0,1,2,0,0
23,106125,150831,551,95,4,7.88,12,0.43,1,3,2,0,1,3,1,0
36,145451,125243,634,42,4,24.9,24,0.72,0,2,0,0,1,1,0,1
28,60792,13208,618,62,1,20.74,24,0.72,3,2,0,0,1,0,1,0
54,53624,158910,682,90,4,7.3,24,0.75,3,3,2,1,1,4,0,0
58,52879,232908,604,102,2,16.24,48,0.78,0,3,0,0,0,2,1,0
51,104440,233215,738,41,4,11.74,12,0.65,1,1,0,0,1,4,1,0
27,147918,144520,625,115,3,11.11,12,0.29,3,0,2,1,1,3,0,0
36,54716,186109,626,110,3,4.22,12,0.19,2,0,1,0,0,0,0,0
33,42405,169042,613,55,1,13.36,36,0.69,0,0,2,0,1,3,0,0
49,63562,96901,312,23,4,3.16,48,0.15,0,3,2,1,0,0,1,0
65,78145,38980,564,90,1,11.96,60,0.24,0,2,0,1,1,1,1,0
36,81529,153124,471,93,3,18.25,36,0.69,1,2,0,1,1,3,1,0
21,83859,232787,604,102,2,13.46,60,0.46,0,3,0,0,0,0,1,1
40,82016,15515,824,50,3,17.09,48,0.15,0,3,1,0,1,3,0,0
63,82589,232459,769,28,2,9.87,60,0.47,0,3,2,1,1,4,0,0
52,110447,25412,709,2,3,11.65,48,0.43,2,1,0,0,1,1,0,0
50,116927,161089,491,108,3,17.22,24,0.84,2,0,2,1,1,3,0,0
44,117408,132990,677,59,2,8.16,48,0.53,0,1,0,1,0,1,1,0
32,58319,70700,312,31,2,18.93,24,0.53,3,3,0,1,0,3,0,1
20,22474,145912,432,46,2,19.4,48,0.49,0,3,1,0,1,0,1,1
67,72859,116869,388,105,2,10.23,36,0.82,0,2,2,0,1,3,1,0
65,141644,6989,428,12,2,22.37,12,0.74,0,3,2,1,1,0,1,0
20,32757,171154,438,3,1,24.8,36,0.82,2,3,0,0,1,3,0,1
40,85623,89508,837,83,2,7.99,48,0.48,1,2,0,0,1,0,1,0
42,140482,9795,659,97,4,21.78,24,0.71,2,3,2,0,0,2,0,0
59,129516,46994,702,63,2,22.93,12,0.62,0,2,0,0,1,3,1,1
32,101616,239799,347,5,3,3.23,36,0.2,3,3,0,1,1,1,0,0
29,119733,209945,568,5,1,12.52,60,0.29,1,2,2,0,1,2,0,0
61,62773,89493,446,62,3,5.59,36,0.12,1,1,2,0,0,0,0,0
66,16512,80652,654,58,1,19.07,48,0.57,2,2,0,1,0,1,1,0
24,18036,135895,840,45,2,20.54,36,0.53,3,0,1,0,0,2,0,0
31,39707,24200,825,36,2,17.42,24,0.34,1,3,2,0,0,4,1,0
35,131460,98766,475,117,2,18.81,12,0.41,2,0,1,1,1,0,1,0
49,82144,121099,442,1,2,13.15,36,0.23,1,0,1,1,0,0,1,0
43,39516,107805,727,61,3,6.55,24,0.3,3,2,0,0,1,3,1,0
69,64434,107662,572,114,4,13.45,36,0.19,1,0,0,0,0,3,0,0
52,138249,125042,722,8,4,8.13,24,0.72,0,2,1,0,1,1,0,0
64,116433,69417,485,53,2,18.21,24,0.35,0,1,1,1,1,0,0,0
28,147753,131231,716,60,1,10.8,60,0.26,0,3,0,0,0,4,0,0
52,66669,8689,413,39,3,16.22,24,0.63,0,3,1,0,0,1,0,0
67,32622,87141,647,88,1,6.64,36,0.49,3,2,2,1,1,3,0,0
59,148351,201245,440,83,1,24.76,48,0.69,3,0,2,1,0,0,1,0
53,111003,213971,556,118,1,16.55,36,0.17,1,1,1,0,1,3,0,0
18,82300,85546,415,99,1,11.51,36,0.21,2,2,1,0,0,3,1,0
29,122810,216498,372,2,3,24.8,12,0.73,2,1,1,0,0,4,1,1
43,55904,31079,602,10,3,8.87,48,0.82,0,2,2,0,0,4,0,1
37,120950,53418,607,80,1,9.65,36,0.15,2,3,0,0,1,1,1,0
27,145956,108436,612,55,3,7.34,24,0.12,1,0,2,1,0,3,1,0
34,66370,179055,594,52,2,11.8,60,0.7,3,1,0,1,0,2,1,0
62,99987,59733,810,6,4,14.25,48,0.9,2,1,1,0,1,3,0,0
18,79065,34259,584,29,2,11.11,36,0.82,3,1,2,0,1,1,0,0
30,22080,106593,719,84,4,8.59,12,0.16,0,3,1,0,0,2,1,0
24,86692,242076,772,19,3,24.84,60,0.73,3,1,1,1,1,3,0,0
55,58723,224937,417,36,3,11.81,60,0.81,3,2,1,0,1,2,0,0
33,43706,172683,825,21,2,11.35,36,0.37,0,1,2,0,0,1,1,0
61,144861,49833,312,119,3,17.99,36,0.5,1,3,0,1,0,4,0,0
28,78189,171704,472,69,2,7.07,24,0.43,0,2,0,0,0,0,0,0
63,119903,241687,398,85,1,9.18,48,0.42,2,3,1,0,1,4,1,0
38,29879,114647,824,99,3,11.55,36,0.67,2,3,2,1,1,0,0,0
68,124004,160998,660,55,2,4.53,12,0.46,2,0,1,0,0,4,1,0
18,101658,39454,503,54,3,20.0,24,0.62,2,0,0,1,1,0,1,0
36,93053,129015,387,23,3,9.48,12,0.74,0,0,1,0,1,0,0,0
64,32121,111282,675,39,2,22.69,60,0.63,2,2,0,1,0,1,1,1
65,42240,211255,409,99,3,7.55,12,0.77,0,2,1,0,1,0,1,0
65,46467,168982,782,64,1,21.96,48,0.79,3,3,2,1,0,2,1,0
69,76879,72983,321,83,2,4.03,12,0.45,2,1,2,1,1,3,0,0
57,42730,127946,309,71,4,10.38,36,0.66,0,0,2,1,0,4,1,0
27,143054,176088,495,75,4,18.24,48,0.47,2,0,0,1,1,4,0,0
20,125784,9854,744,26,1,4.69,24,0.84,2,2,2,1,1,2,1,0
60,127133,153815,621,57,1,3.15,36,0.39,0,3,2,1,1,1,0,0
68,130340,243386,649,15,3,24.36,12,0.61,3,3,0,0,1,0,0,0
47,58783,192507,462,50,4,7.97,60,0.49,1,0,1,1,1,0,1,0
44,114993,7466,677,6,2,16.68,36,0.3,3,0,2,0,1,4,0,0
29,105964,101559,388,112,1,21.42,12,0.17,1,2,1,1,0,0,0,0
35,135277,230270,409,48,1,15.6,48,0.29,0,1,1,0,1,2,0,0
48,116809,61119,351,110,4,12.0,36,0.3,3,2,2,1,0,4,1,0
65,74617,134402,653,1,3,5.07,60,0.48,2,0,2,1,0,0,1,0
61,134820,117922,557,46,1,13.62,48,0.82,2,2,1,1,0,4,0,0
21,35048,21329,543,81,4,19.1,36,0.35,1,1,0,0,0,3,1,1
69,19537,170017,330,42,3,15.6,12,0.48,3,3,2,1,0,0,1,0
46,23297,162960,641,117,2,2.29,48,0.89,1,1,2,0,0,1,1,0
45,64112,229934,632,114,4,21.0,36,0.2,2,3,2,1,1,3,0,0
63,149713,186304,430,98,1,16.64,48,0.67,1,0,1,0,0,0,0,0
20,40171,20901,799,0,3,16.28,24,0.42,2,1,1,1,1,1,1,0
64,105521,80345,342,3,3,6.83,36,0.43,3,2,1,0,0,0,1,0
51,148127,95951,423,53,2,21.0,12,0.37,3,2,2,1,1,2,0,0
56,60940,218855,631,116,1,10.07,12,0.35,0,2,1,1,0,4,0,0
45,130141,50024,549,81,2,15.47,60,0.75,1,2,0,1,1,1,0,0
18,32296,21847,829,110,3,3.31,48,0.62,2,2,0,1,1,1,0,0
25,62942,99124,353,101,3,20.16,60,0.21,2,1,0,0,0,2,1,0
58,57150,207401,333,114,2,3.46,24,0.29,3,2,2,1,0,1,1,0
39,106512,216986,357,111,3,8.57,12,0.84,1,1,1,0,0,3,0,0
47,53756,182276,531,62,3,10.24,36,0.48,1,3,2,0,1,2,0,0
44,86360,198793,332,43,1,5.9,48,0.42,0,2,0,1,0,3,0,0
52,119193,61958,409,26,1,10.57,48,0.76,2,3,1,0,1,1,1,0
27,18697,119745,733,72,4,21.47,12,0.65,0,1,0,0,0,3,0,1
65,129645,60065,526,63,2,16.34,36,0.22,3,2,2,1,1,1,1,0
68,21974,84643,540,58,3,24.07,36,0.3,2,1,1,1,0,0,1,0
28,69045,234359,615,45,3,5.41,60,0.5,3,1,0,1,0,4,1,0
64,53572,167840,612,103,3,4.32,48,0.38,0,2,1,1,0,1,0,0
40,115694,229646,517,24,4,10.5,48,0.63,3,3,0,1,1,2,0,0
31,59103,228202,821,50,2,20.81,36,0.22,1,3,1,0,0,4,0,1
55,54183,93727,846,20,4,24.79,60,0.36,0,3,0,1,0,1,0,0
57,83376,167385,651,24,2,15.67,24,0.74,3,3,1,1,1,3,1,0
18,123981,98915,359,67,1,13.71,24,0.41,0,2,1,0,0,3,0,0
60,126724,144423,576,17,4,23.78,48,0.29,1,3,2,1,0,4,1,0
53,96144,166031,471,101,3,2.46,48,0.32,1,3,2,1,0,1,0,0
59,98998,127449,578,1,4,20.87,12,0.78,2,3,0,1,0,2,1,1
45,27343,58663,743,45,4,15.08,36,0.4,0,3,0,0,1,4,0,0
69,146109,110746,703,75,2,24.36,60,0.71,3,1,2,1,0,2,1,0
25,145578,120329,593,35,3,15.46,60,0.79,1,1,1,0,1,0,0,0
26,88672,89942,461,9,4,24.98,12,0.85,1,1,0,0,0,1,0,0
44,58951,35599,649,5,4,20.26,48,0.47,3,3,2,1,1,2,0,0
20,131863,29129,302,17,2,21.51,36,0.56,2,2,0,0,0,4,0,1
40,25016,41853,619,103,4,14.43,48,0.86,3,2,0,1,1,1,0,0
67,70013,172107,653,66,2,22.26,36,0.87,0,1,2,1,1,2,1,0
27,148981,224927,780,14,3,22.52,36,0.81,3,0,1,1,1,1,0,0
60,149267,217057,804,14,3,14.59,12,0.33,0,3,0,1,0,2,1,0
46,71073,239973,384,54,2,6.99,48,0.3,0,2,2,1,0,1,0,1
68,96082,26959,742,59,2,24.95,12,0.31,0,1,1,1,1,2,0,0
46,48426,40889,821,98,4,7.0,12,0.29,3,0,1,0,0,0,1,0
27,71685,88021,834,105,3,2.46,24,0.55,0,3,2,1,0,2,0,0
41,93813,150682,573,25,2,13.27,24,0.86,3,0,1,1,1,2,1,0
57,54128,104289,330,60,3,2.52,36,0.41,1,2,0,1,0,0,1,0
32,147352,93725,594,66,4,8.2,48,0.45,1,2,2,0,0,0,0,0
44,77298,123264,741,99,3,7.55,36,0.38,3,0,2,1,0,2,0,0
21,95648,116357,815,23,1,12.27,12,0.88,1,2,0,0,1,4,0,0
40,22816,184806,715,8,1,24.63,24,0.25,3,3,0,1,1,4,1,0
19,126767,45406,526,38,3,12.53,36,0.86,2,2,0,1,0,4,0,0
31,92369,7408,393,4,1,9.59,60,0.87,2,3,0,1,0,1,0,1
36,137812,83871,466,53,4,18.33,24,0.42,1,0,0,1,1,1,0,0
60,134722,75994,614,38,3,17.03,36,0.21,2,3,2,1,1,4,1,0
61,22285,66720,368,42,1,8.32,12,0.68,3,0,0,0,1,0,1,0
44,57487,79414,457,9,2,4.68,24,0.76,0,3,2,1,0,4,0,0
58,38900,32881,726,7,3,3.01,36,0.22,2,3,2,1,0,2,0,0
57,116479,86641,669,116,4,23.98,48,0.64,1,2,0,0,0,1,1,0
18,133369,240460,725,17,3,21.2,60,0.83,1,2,1,0,0,1,1,1
